Number,Abstract
394,"  We consider a finite time quantum heat engine analogous to finite time
classical Carnot heat engine with a working substance of spin half particles.
We study the efficiency at maximum $\dot{\Omega}$ figure of merit of the
quantum heat engine of spin half particles as a working substance in the
presence of external magnetic field. The efficiency of this engine at maximum
$\dot{\Omega}$ figure of merit shows anomalous behavior in certain region of
particles population levels. Further, we find that the efficiency at maximum
$\dot{\Omega}$ figure exceeds all the known bounds and even approaches the
Carnot efficiency at finite time. Our study indicates that the population of
spin half particles plays a crucial role in quantum heat engine whose
collective effect in the quantum regime can provide superior engine performance
with higher efficiency.
"
395,"  This paper investigates the dynamics of human AI collaboration in software
engineering, focusing on the use of ChatGPT. Through a thematic analysis of a
hands on workshop in which 22 professional software engineers collaborated for
three hours with ChatGPT, we explore the transition of AI from a mere tool to a
collaborative partner. The study identifies key themes such as the evolving
nature of human AI interaction, the capabilities of AI in software engineering
tasks, and the challenges and limitations of integrating AI in this domain. The
findings show that while AI, particularly ChatGPT, improves the efficiency of
code generation and optimization, human oversight remains crucial, especially
in areas requiring complex problem solving and security considerations. This
research contributes to the theoretical understanding of human AI collaboration
in software engineering and provides practical insights for effectively
integrating AI tools into development processes. It highlights the need for
clear role allocation, effective communication, and balanced AI human
collaboration to realize the full potential of AI in software engineering.
"
396,"  Graph database engines play a pivotal role in efficiently storing and
managing graph data across various domains, including bioinformatics, knowledge
graphs, and recommender systems. Ensuring data accuracy within graph database
engines is paramount, as inaccuracies can yield unreliable analytical outcomes.
Current bug-detection approaches are confined to specific graph query
languages, limiting their applicabilities when handling graph database engines
that use various graph query languages across various domains. Moreover, they
require extensive prior knowledge to generate queries for detecting bugs. To
address these challenges, we introduces DGDB, a novel paradigm harnessing large
language models(LLM), such as ChatGPT, for comprehensive bug detection in graph
database engines. DGDB leverages ChatGPT to generate high-quality queries for
different graph query languages. It subsequently employs differential testing
to identify bugs in graph database engines. We applied this paradigm to graph
database engines using the Gremlin query language and those using the Cypher
query language, generating approximately 4,000 queries each. In the latest
versions of Neo4j, Agensgraph, and JanusGraph databases, we detected 2, 5, and
3 wrong-result bugs, respectively.
"
397,"  Efficiently harvesting thermodynamic resources requires a precise
understanding of their structure. This becomes explicit through the lens of
information engines -- thermodynamic engines that use information as fuel.
Maximizing the work harvested using available information is a form of
physically-instantiated machine learning that drives information engines to
develop complex predictive memory to store an environment's temporal
correlations. We show that an information engine's complex predictive memory
poses both energetic benefits and risks. While increasing memory facilitates
detection of hidden patterns in an environment, it also opens the possibility
of thermodynamic overfitting, where the engine dissipates additional energy in
testing. To address overfitting, we introduce thermodynamic regularizers that
incur a cost to engine complexity in training due to the physical constraints
on the information engine. We demonstrate that regularized thermodynamic
machine learning generalizes effectively. In particular, the physical
constraints from which regularizers are derived improve the performance of
learned predictive models. This suggests that the laws of physics jointly
create the conditions for emergent complexity and predictive intelligence.
"
398,"  Until recently, search engines were the predominant method for people to
access online information. The recent emergence of large language models (LLMs)
has given machines new capabilities such as the ability to generate new digital
artifacts like text, images, code etc., resulting in a new tool, a generative
search engine, which combines the capabilities of LLMs with a traditional
search engine. Through the empirical analysis of Bing Copilot (Bing Chat), one
of the first publicly available generative search engines, we analyze the types
and complexity of tasks that people use Bing Copilot for compared to Bing
Search. Findings indicate that people use the generative search engine for more
knowledge work tasks that are higher in cognitive complexity than were commonly
done with a traditional search engine.
"
399,"  In this work, we consider \textit{quantum unital Otto heat engines}. The
latter refers to the fact that both the unitaries of the adiabatic strokes and
the source of the heat provided to the engine preserve the maximally mixed
state. We show how to compute the cumulants of either the dephased or
undephased engine. For a qubit, we give the analytical expressions of the
averages and variances for arbitrary unitaries and unital channels. We do a
detailed comparative study between the dephased and undephased heat engines.
More precisely, we focus on the effect of the parameters on the average work
and its reliability and efficiency. As a case study of unital channels, we
consider a quantum projective measurement. We show on which basis we should
projectively measure the qubit, either the dephased or undephased heat engine,
to extract higher amounts of work, increase the latter's reliability, and
increase efficiency. Further, we show that non-adiabatic transitions
\textit{are not always detrimental} to thermodynamic quantities. Our results,
we believe, are important for heat engines fueled by \textit{quantum
measurement}.
"
400,"  Ethnography has become one of the established methods for empirical research
on software engineering. Although there is a wide variety of introductory books
available, there has been no material targeting software engineering students
particularly, until now. In this chapter we provide an introduction to teaching
and learning ethnography for faculty teaching ethnography to software
engineering graduate students and for the students themselves of such courses.
  The contents of the chapter focuses on what we think is the core basic
knowledge for newbies to ethnography as a research method. We complement the
text with proposals for exercises, tips for teaching, and pitfalls that we and
our students have experienced.
  The chapter is designed to support part of a course on empirical software
engineering and provides pointers and literature for further reading.
"
401,"  Refactoring is a critical process in software development, aiming at
improving the internal structure of code while preserving its external
behavior. Refactoring engines are integral components of modern Integrated
Development Environments (IDEs) and can automate or semi-automate this process
to enhance code readability, reduce complexity, and improve the maintainability
of software products. Like traditional software systems, refactoring engines
can generate incorrect refactored programs, resulting in unexpected behaviors
or even crashes. In this paper, we present the first systematic study of
refactoring engine bugs by analyzing bugs arising in three popular refactoring
engines (i.e., Eclipse, IntelliJ IDEA, and Netbeans). We analyzed these bugs
according to their refactoring types, symptoms, root causes, and triggering
conditions. We obtained 12 findings and provided a series of valuable
guidelines for future work on refactoring bug detection and debugging.
Furthermore, our transferability study revealed 130 new bugs in the latest
version of those refactoring engines. Among the 21 bugs we submitted, 10 bugs
are confirmed by their developers, and seven of them have already been fixed.
"
402,"  Recent advancements in Large Language Models (LLMs) have enhanced efficiency
across various domains, including protein engineering, where they offer
promising opportunities for dry lab and wet lab experiment workflow automation.
Previous work, namely TourSynbio-Agent, integrates a protein-specialized
multimodal LLM (i.e. TourSynbio-7B) with domain-specific deep learning (DL)
models to streamline both computational and experimental protein engineering
tasks. While initial validation demonstrated TourSynbio-7B's fundamental
protein property understanding, the practical effectiveness of the complete
TourSynbio-Agent framework in real-world applications remained unexplored. This
study presents a comprehensive validation of TourSynbio-Agent through five
diverse case studies spanning both computational (dry lab) and experimental
(wet lab) protein engineering. In three computational case studies, we evaluate
the TourSynbio-Agent's capabilities in mutation prediction, protein folding,
and protein design. Additionally, two wet-lab validations demonstrate
TourSynbio-Agent's practical utility: engineering P450 proteins with up to 70%
improved selectivity for steroid 19-hydroxylation, and developing reductases
with 3.7x enhanced catalytic efficiency for alcohol conversion. Our findings
from the five case studies establish that TourSynbio-Agent can effectively
automate complex protein engineering workflows through an intuitive
conversational interface, potentially accelerating scientific discovery in
protein engineering.
"
403,"  The rise of Foundation Models (FMs) like Large Language Models (LLMs) is
revolutionizing software development. Despite the impressive prototypes,
transforming FMware into production-ready products demands complex engineering
across various domains. A critical but overlooked aspect is performance
engineering, which aims at ensuring FMware meets performance goals such as
throughput and latency to avoid user dissatisfaction and financial loss. Often,
performance considerations are an afterthought, leading to costly optimization
efforts post-deployment. FMware's high computational resource demands highlight
the need for efficient hardware use. Continuous performance engineering is
essential to prevent degradation. This paper highlights the significance of
Software Performance Engineering (SPE) in FMware, identifying four key
challenges: cognitive architecture design, communication protocols, tuning and
optimization, and deployment. These challenges are based on literature surveys
and experiences from developing an in-house FMware system. We discuss problems,
current practices, and innovative paths for the software engineering community.
"
404,"  E-Commerce challenges traditional approaches to assessing monopolistic
practices due to the rapid rate of growth, rapid change in technology,
difficulty in assessing market share for information products like web sites,
and high degree of interconnectivity and alliance formation among corporations.
This paper has provided a fundamental framework that integrates a network and
economic perspective to the search engine market.
  The findings indicate that (1) despite an increasing number of search
engines, barriers to entry seem high, largely due to the exponential growth in
the number of web sites and the non-scalability of the current search
technology and collective switching costs; (2) older search engine sites tend
typically to have more features to lock in users. Using standard economic
indicators (CR4=58% and HHI=1163), the industry looks close to being plagued by
anticompetitive practices. But based on a network adjusted HHI constructed in
this paper, its value, 870, suggests that there is less cause for concern.
  Based on all indicators, it suggests that Yahoo would be a contender. Other
possible contenders are MSN and Netscape. On the basis of results to date, some
search engines keep increasing their audience reach while others don't. The
trend shows that some search engines may dominate the search engine market. We
suggest conducting research in the coverage performance of search engines and
investigate ""information search cost"" as a performance indicator of search
techniques. In addition, we suggest paying attention to any anticompetitive
conduct (e.g. product bundling) that may lesson competition and reduce consumer
welfare. The combination of network theory and economic theory to study the
search engine market is a particularly powerful approach for E-Commerce.
"
405,"  We introduce a class of quantum heat engines which consists of
two-energy-eigenstate systems, the simplest of quantum mechanical systems,
undergoing quantum adiabatic processes and energy exchanges with heat baths,
respectively, at different stages of a cycle. Armed with this class of heat
engines and some interpretation of heat transferred and work performed at the
quantum level, we are able to clarify some important aspects of the second law
of thermodynamics. In particular, it is not sufficient to have the heat source
hotter than the sink, but there must be a minimum temperature difference
between the hotter source and the cooler sink before any work can be extracted
through the engines. The size of this minimum temperature difference is
dictated by that of the energy gaps of the quantum engines involved. Our new
quantum heat engines also offer a practical way, as an alternative to Szilard's
engine, to physically realise Maxwell's daemon. Inspired and motivated by the
Rabi oscillations, we further introduce some modifications to the quantum heat
engines with single-mode cavities in order to, while respecting the second law,
extract more work from the heat baths than is otherwise possible in thermal
equilibria. Some of the results above are also generalisable to quantum heat
engines of an infinite number of energy levels including 1-D simple harmonic
oscillators and 1-D infinite square wells.
"
406,"  A typical web search engine consists of three principal parts: crawling
engine, indexing engine, and searching engine. The present work aims to
optimize the performance of the crawling engine. The crawling engine finds new
web pages and updates web pages existing in the database of the web search
engine. The crawling engine has several robots collecting information from the
Internet. We first calculate various performance measures of the system (e.g.,
probability of arbitrary page loss due to the buffer overflow, probability of
starvation of the system, the average time waiting in the buffer). Intuitively,
we would like to avoid system starvation and at the same time to minimize the
information loss. We formulate the problem as a multi-criteria optimization
problem and attributing a weight to each criterion. We solve it in the class of
threshold policies. We consider a very general web page arrival process modeled
by Batch Marked Markov Arrival Process and a very general service time modeled
by Phase-type distribution. The model has been applied to the performance
evaluation and optimization of the crawler designed by INRIA Maestro team in
the framework of the RIAM INRIA-Canon research project.
"
407,"  Recently, parallel search engines have been implemented based on scalable
distributed file systems such as Google File System. However, we claim that
building a massively-parallel search engine using a parallel DBMS can be an
attractive alternative since it supports a higher-level (i.e., SQL-level)
interface than that of a distributed file system for easy and less error-prone
application development while providing scalability. In this paper, we propose
a new approach of building a massively-parallel search engine using a DB-IR
tightly-integrated parallel DBMS and demonstrate its commercial-level
scalability and performance. In addition, we present a hybrid (i.e., analytic
and experimental) performance model for the parallel search engine. We have
built a five-node parallel search engine according to the proposed architecture
using a DB-IR tightly-integrated DBMS. Through extensive experiments, we show
the correctness of the model by comparing the projected output with the
experimental results of the five-node engine. Our model demonstrates that ODYS
is capable of handling 1 billion queries per day (81 queries/sec) for 30
billion web pages by using only 43,472 nodes with an average query response
time of 211 ms, which is equivalent to or better than those of commercial
search engines. We also show that, by using twice as many (86,944) nodes, ODYS
can provide an average query response time of 162 ms, which is significantly
lower than those of commercial search engines.
"
408,"  Artificial micro heat engines are prototypical models to explore and
elucidate the mechanisms of energy transduction in a regime that is dominated
by fluctuations [1-2]. Micro heat engines realized hitherto mimicked their
macroscopic counterparts and operated between reservoirs that were effectively
thermal [3-7]. For such reservoirs, temperature is a well-defined state
variable and stochastic thermodynamics provides a precise framework for
quantifying engine performance [8-9]. It remains unclear whether these concepts
readily carry over to situations where the reservoirs are out-of-equilibrium
[10], a scenario of particular importance to the functioning of synthetic
[11-12] and biological [13] micro engines and motors. Here we experimentally
realized a micrometer-sized active Stirling engine by periodically cycling a
colloidal particle in a time-varying harmonic optical potential across
bacterial baths at different activities. Unlike in equilibrium thermal
reservoirs, the displacement statistics of the trapped particle becomes
increasingly non-Gaussian with activity. We show that as much as $\approx$ 85\%
of the total power output and $\approx$ 50\% of the overall efficiency stems
from large non-Gaussian particle displacements alone. Most remarkably, at the
highest activities investigated, the efficiency of our quasi-static active heat
engines surpasses the equilibrium saturation limit of Stirling efficiency - the
maximum efficiency of a Stirling engine with the ratio of cold and hot
reservoir temperatures ${T_C\over T_H} \to 0$. Crucially, the failure of
effective temperature descriptions [14-16] for active reservoirs highlights the
dire need for theories that can better capture the physics of micro motors and
heat engines that operate in strongly non-thermal environments.
"
409,"  Empirical software engineering has received much attention in recent years
and coined the shift from a more design-science-driven engineering discipline
to an insight-oriented, and theory-centric one. Yet, we still face many
challenges, among which some increase the need for interdisciplinary research.
This is especially true for the investigation of human-centric aspects of
software engineering. Although we can already observe an increased recognition
of the need for more interdisciplinary research in (empirical) software
engineering, such research configurations come with challenges barely discussed
from a scientific point of view. In this position paper, we critically reflect
upon the epistemological setting of empirical software engineering and
elaborate its configuration as an Interdiscipline. In particular, we (1)
elaborate a pragmatic view on empirical research for software engineering
reflecting a cyclic process for knowledge creation, (2) motivate a path towards
symmetrical interdisciplinary research, and (3) adopt five rules of thumb from
other interdisciplinary collaborations in our field before concluding with new
emerging challenges. This shall support stopping to treating empirical software
engineering as a developing discipline moving towards a paradigmatic stage of
normal science, but as a configuration of symmetric interdisciplinary teams and
research methods.
"
410,"  Since underlying hardware components form the basis of trust in virtually any
computing system, security failures in hardware pose a devastating threat to
our daily lives. Hardware reverse engineering is commonly employed by security
engineers in order to identify security vulnerabilities, to detect IP
violations, or to conduct very-large-scale integration (VLSI) failure analysis.
Even though industry and the scientific community demand experts with expertise
in hardware reverse engineering, there is a lack of educational offerings, and
existing training is almost entirely unstructured and on the job. To the best
of our knowledge, we have developed the first course to systematically teach
students hardware reverse engineering based on insights from the fields of
educational research, cognitive science, and hardware security. The
contribution of our work is threefold: (1) we propose underlying educational
guidelines for practice-oriented courses which teach hardware reverse
engineering; (2) we develop such a lab course with a special focus on
gate-level netlist reverse engineering and provide the required tools to
support it; (3) we conduct an educational evaluation of our pilot course. Based
on our results, we provide valuable insights on the structure and content
necessary to design and teach future courses on hardware reverse engineering.
"
411,"  Background: Assessing and communicating software engineering research can be
challenging. Design science is recognized as an appropriate research paradigm
for applied research but is seldom referred to in software engineering.
Applying the design science lens to software engineering research may improve
the assessment and communication of research contributions. Aim: The aim of
this study is 1) to understand whether the design science lens helps summarize
and assess software engineering research contributions, and 2) to characterize
different types of design science contributions in the software engineering
literature. Method: In previous research, we developed a visual abstract
template, summarizing the core constructs of the design science paradigm. In
this study, we use this template in a review of a set of 38 top software
engineering publications to extract and analyze their design science
contributions. Results: We identified five clusters of papers, classifying them
according to their alignment with the design science paradigm. Conclusions: The
design science lens helps emphasize the theoretical contribution of research
output---in terms of technological rules---and reflect on the practical
relevance, novelty, and rigor of the rules proposed by the research.
"
412,"  Servitization is one of the most significant trends that reshapes the
information world and society in recent years. The requirement of
collecting,storing, processing, and sharing of the Big Data has led to massive
software resources being developed and made accessible as web-based services to
facilitate such process. These services that handle the Big Data come from
various domains and heterogeneous networks, and converge into a huge
complicated service network (or ecosystem), called the Big Service.The key
issue facing the big data and big service ecosystem is how to optimally
configure and operate the related service resources to serve the specific
requirements of possible applications, i.e., how to reuse the existing service
resources effectively and efficiently to develop the new applications or
software services, to meet the massive individualized requirements of
end-users.Based on analyzing the big service ecosystem, we present in this
paper a new paradigm for software service engineering, RE2SEP
(Requirement-Engineering Two-Phase of Service Engineering Paradigm), which
includes three components: service-oriented requirement engineering,
domain-oriented service engineering, and software service development approach.
RE2SEP enables the rapid design and implementation of service solutions to
match the requirement propositions of massive individualized customers in the
Big Service ecosystem. A case study on people's mobility service in a smart
city environment is given to demonstrate the application of RE2SEP.RE2SEP can
potentially revolutionize the traditional life-cycle oriented software
engineering, leading to a new approach to software service engineering.
"
413,"  We have been thinking about other aspects of software engineering for many
years; the missing link in engineering software is the soft skills set,
essential in the software development process. Although soft skills are among
the most important aspects in the creation of software, they are often
overlooked by educators and practitioners. One of the main reasons for the
oversight is that soft skills are usually related to social and personality
factors, i.e., teamwork, motivation, commitment, leadership, multi-culturalism,
emotions, interpersonal skills, etc. This editorial is a manifesto declaring
the importance of soft skills in software engineering with the intention to
draw professionals attention to these topics. We have approached this issue by
mentioning what we know about the field, what we believe to be evident, and
which topics need further investigation. Important references to back up our
claims are also included. Software engineers take pride in the depth of their
technical expertise, which separates them from the crowd. But, what makes a
good software engineer? First, it is the technical knowledge of relevant
methodologies and techniques (i.e. hard skills), as well as the skills
necessary for applying that knowledge in practice. Second, but nonetheless
important, it is a set of soft skills, in particular collaboration,
communication, problem-solving and similar interpersonal and critical thinking
skills that are expected from software engineering professionals. In other
words, software engineers need both hard and soft skills in order to be
successful at the workplace.
"
414,"  Research on fault diagnosis on highly nonlinear dynamic systems such as the
engine of a vehicle have garnered huge interest in recent years, especially
with the automotive industry heading towards self-driving technologies. This
article presents a novel opensource simulation testbed of a turbocharged spark
ignited (TCSI) petrol engine system for testing and evaluation of residuals
generation and fault diagnosis methods. Designed and developed using
Matlab/Simulink, the user interacts with the testbed using a GUI interface,
where the engine can be realistically simulated using industrial-standard
driving cycles such as the Worldwide harmonized Light vehicles Test Procedures
(WLTP), the New European Driving Cycle (NEDC), the Extra-Urban Driving Cycle
(EUDC), and EPA Federal Test Procedure (FTP-75). The engine is modeled using
the mean value engine model (MVEM) and is controlled using a
proportional-integral (PI)-based boost controller. The GUI interface also
allows the user to induce one of the 11 faults of interest, so that their
effects on the performance of the engine are better understood. This minimizes
the risk of causing permanent damages to the engine and shortening its
lifespan, should the tests be conducted onto the actual physical system. This
simulation testbed will serve 16 as an excellent platform where researchers can
generate critical data to develop and compare current and future research
methods for fault diagnosis of automotive engine systems.
"
415,"  Understanding the detailed flame transport in IC engines is important to
predict ignition, rate of heat release and assess engine performance. This is
particularly important for RANS and LES engine simulations, which often
struggle to accurately predict flame propagation and heat release without first
adjusting model parameters. Detailed measurements of flame transport are
required to guide model development. This work introduces an experimental
dataset designed to study the detailed flame transport and flame/flow dynamics
for SI engines. Simultaneous dual-plane OH-LIF and stereoscopic PIV is used to
acquire 3D measurements of unburnt gas velocity, flame displacement speed and
overall flame velocity during the early flame development. Experiments are
performed in an optical engine operating at 800 and 1500 RPM with premixed
C8H18-air mixtures. Analysis reveals several distinctive flame/flow
configurations that yield a positive or negative flame displacement for which
the flame progresses towards the reactants or products, respectively. For the
operating conditions utilized, Sd exhibits and inverse relationship with flame
curvature; a strong correlation between negative Sd and convex flame contours
is observed. Trends are consistent with thermo-diffusive flames, but have not
been quantified in IC engines. Flame wrinkling is more severe at the higher
RPM, which broadens Sd distribution towards higher positive and negative
velocities. Spatially-resolved distributions of Ugas and Sd describe
in-cylinder locations where convection or thermal diffusion is the dominating
mechanism contributing to flame transport. Findings are discussed in relation
to common engine flow features, including flame transport near solid surfaces.
Findings are designed to support engine simulation validations.
"
416,"  Following the onset of the COVID-19 pandemic and subsequent lockdowns, the
daily lives of software engineers were heavily disrupted as they were abruptly
forced to work remotely from home. To better understand and contrast typical
working days in this new reality with work in pre-pandemic times, we conducted
one exploratory (N = 192) and one confirmatory study (N = 290) with software
engineers recruited remotely. Specifically, we build on self-determination
theory to evaluate whether and how specific activities are associated with
software engineers' satisfaction and productivity. To explore the subject
domain, we first ran a two-wave longitudinal study. We found that the time
software engineers spent on specific activities (e.g., coding, bugfixing,
helping others) while working from home was similar to pre-pandemic times.
Also, the amount of time developers spent on each activity was unrelated to
their general well-being, perceived productivity, and other variables such as
basic needs. Our confirmatory study found that activity-specific variables
(e.g., how much autonomy software engineers had during coding) do predict
activity satisfaction and productivity but not by activity-independent
variables such as general resilience or a good work-life balance.
Interestingly, we found that satisfaction and autonomy were significantly
higher when software engineers were helping others and lower when they were
bugfixing. Finally, we discuss implications for software engineers, management,
and researchers. In particular, active company policies to support developers'
need for autonomy, relatedness, and competence appear particularly effective in
a WFH context.
"
417,"  Context: Systematic literature reviews (SLRs) have become standard practise
as part of software engineering research, although their quality varies. To
build on the reviews, both for future research and industry practice, they need
to be of high quality. Objective: To assess the quality of SLRs in software
engineering, we put forward an appraisal instrument for SLRs. The instrument is
intended for use by appraisers of reviews, but authors may also use it as a
checklist when designing and documenting their reviews. Method: A
well-established appraisal instrument from research in healthcare was used as a
starting point to develop a quality assessment instrument. It is adapted to
software engineering using guidelines, checklists, and experiences from
software engineering. As a validation step, the first version was reviewed by
four external experts on SLRs in software engineering and updated based on
their feedback. Results: The outcome of the research is an appraisal instrument
for the quality assessment of SLRs in software engineering. The instrument
intends to support the appraiser in assessing the quality of an SLR. The
instrument includes 16 items with different options to capture the quality. The
item is assessed on a two or three-grade scale, depending on the item. The
instrument also supports consolidating the items into groups, which are then
used to assess the overall quality of a systematic literature review.
Conclusion: It is concluded that the presented instrument may be helpful
support for an appraiser in assessing the quality of SLRs in software
engineering.
"
418,"  The central engine in long gamma-ray bursts (GRBs) is thought to be a compact
object produced by the core collapse of massive stars, but its exact nature
(black hole or millisecond magnetar) is still debatable. Although the central
engine of GRB collapsars is hidden to direct observation, its properties may be
imprinted on the accompanying electromagnetic signals. We aim to decipher the
generic properties of central engines that are consistent with prompt
observations of long GRBs detected by the Burst Alert Telescope (BAT) on board
the Neil Gehrels Swift Observatory. Adopting a generic model for the central
engine, in which the engine power and activity timescale are independent of
each other, we perform Monte Carlo simulations of long GRBs produced by jets
that successfully breakout from the star. Our simulations consider the
dependence of the jet breakout timescale on the engine luminosity and the
effects of the detector's flux threshold. The two-dimensional (2D) distribution
of simulated detectable bursts in the gamma-ray luminosity versus gamma-ray
duration plane is consistent with the observed one for a range of parameter
values describing the central engine. The intrinsic 2D distribution of
simulated collapsar GRBs peaks at lower gamma-ray luminosities and longer
durations than the observed one, a prediction that can be tested in the future
with more sensitive detectors. Black-hole accretors, whose power and activity
time are set by the large-scale magnetic flux through the progenitor star and
stellar structure, respectively, are compatible with the properties of the
central engine inferred by our model.
"
419,"  We consider optimizations of Lenoir heat engine within a quantum dynamical
field consisting of $N$ noninteracting fermions trapped in multilevel infinite
potential square-well. Fermions play role as working substance of the engine
with each particle nested at different level of energy. We optimized this
quantum heat engine model by analysing the physical parameter and deriving the
optimum properties of the engine model. The model we investigated consists of
one high-energy heat bath and one low-energy sink bath. Heat leakage occurs
between these two bathes as expected will degenerate the efficiency of quantum
heat engine model. The degeneration increased as we raised the constant
parameter of heat leakage. We also obtained loop curves in dimensionless power
vs. efficiency of the engine, which efficiency is explicitly affected by heat
leakage, but in contrast for the power output. From the curves, we assured that
the efficiency of the engine would go back to zero as we raised compression
ratio of engine with leakage. Lastly, we checked Clausius relations for each
model with various levels of heat leakage. We found that models with leakage
have a reversible process on specific compression ratios for each variation of
heat leakage. Nevertheless, the compression ratio has limitations because of
the $\oint dQ/E>0$ after the reversible point, i.e. violates the Clausius
relation.
"
420,"  We perform an extensive analysis of passive as well as active micro-heat
engines with different single-particle stochastic models. Using stochastic
thermodynamics we calculate thermodynamic work, heat, entropy production and
efficiency of passive and active Brownian heat engines analytically as well as
numerically and compare them. We run the heat engines with a protocol for which
the average thermodynamic quantities are calculated exactly for an arbitrary
cycle time. We also discuss about the group of protocols for which exact
non-quasistatic calculations can be done, completely in the passive engine case
and partially in the active engines. We obtain detailed thermodynamics of
non-quasistatic (i.e. powerful) single-particle micro heat engines. The
quasistatic (i.e. zero power) limit of the results is obtained by taking long
(infinite) cycle time. We also study the distributions of position of the
confined particle in both passive and active engines. We compare their
characteristics in terms of the parameter that measures the competition between
the active persistence in the particle position (due to active noises) and the
harmonic confinement. We also calculate excess kurtosis that measures the
non-Gaussianity of these distributions. Our analysis shows that efficiency of
such thermal machine can be enhanced or reduced depending on the activity
present in the model.
"
421,"  Software Engineering is the process of a systematic, disciplined,
quantifiable approach that has significant impact on large-scale and complex
software development. Scores of well-established software process models have
long been adopted in the software development life cycle that pour stakeholders
towards the completion of final software product development. Within the
boundary of advanced technology, various emerging and futuristic technology is
evolving that really need the attention of the software engineering community
whether the conventional software process techniques are capable to inherit the
core fundamental into futuristic software development. In this paper, we study
the impact of existing software engineering processes and models including
Agile, and DevOps in Blockchain-Oriented Software Engineering. We also examine
the essentiality of adopting state-of-art concepts and evolving the current
software engineering process for blockchain-oriented systems. We discuss the
insight of software project management practices in BOS development. The
findings of this study indicate that utilizing state-of-art techniques in
software processes for futuristic technology would be challenging and promising
research is needed extensively towards addressing and improving
state-of-the-art software engineering processes and methodology for novel
technologies.
"
422,"  A typical model for a gyrating engine consists of an inertial wheel powered
by an energy source that generates an angle-dependent torque. Examples of such
engines include a pendulum with an externally applied torque, Stirling engines,
and the Brownian gyrating engine. Variations in the torque are averaged out by
the inertia of the system to produce limit cycle oscillations. While torque
generating mechanisms are also ubiquitous in the biological world, where they
typically feed on chemical gradients, inertia is not a property that one
naturally associates with such processes. In the present work, seeking ways to
dispense of the need for inertial effects, we study an inertia-less concept
where the combined effect of coupled torque-producing components averages out
variations in the ambient potential and helps overcome dissipative forces to
allow sustained operation for vanishingly small inertia. We exemplify this
inertia-less concept through analysis of two of the aforementioned engines, the
Stirling engine and the Brownian gyrating engine. An analogous principle may be
sought in biomolecular processes as well as in modern-day technological
engines, where for the latter, the coupled torque-producing components reduce
vibrations that stem from the variability of the generated torque.
"
423,"  Engines are systems and devices that convert one form of energy into another,
typically into a more useful form that can perform work. In the classical
setup, physical, chemical, and biological engines largely involve the
conversion of heat into work. This energy conversion is at the core of
thermodynamic laws and principles and is codified in textbook material. In the
quantum regime, however, the principles of energy conversion become ambiguous,
since quantum phenomena come into play. As with classical thermodynamics,
fundamental principles can be explored through engines and refrigerators, but,
in the quantum case, these devices are miniaturized and their operations
involve uniquely quantum effects. Our work provides a broad overview of this
active field of quantum engines and refrigerators, reviewing the latest
theoretical proposals and experimental realizations. We cover myriad aspects of
these devices, starting with the basic concepts of quantum analogs to the
classical thermodynamic cycle and continuing with different quantum features of
energy conversion that span many branches of quantum mechanics. These features
include quantum fluctuations that become dominant in the microscale,
non-thermal resources that fuel the engines, and the possibility of scaling up
the working medium's size, to account for collective phenomena in many-body
heat engines. Furthermore, we review studies of quantum engines operating in
the strong system-bath coupling regime and those that include non-Markovian
phenomena. Recent advances in thermoelectric devices and quantum information
perspectives, including quantum measurement and feedback in quantum engines,
are also presented.
"
424,"  Game engines provide video game developers with a wide range of fundamental
subsystems for creating games, such as 2D/3D graphics rendering, input device
management, and audio playback. Developers often integrate these subsystems
with other applications or extend them via plugins. To integrate or extend
correctly, developers need a broad system architectural understanding. However,
architectural information is not always readily available and is often
overlooked in this kind of system. In this work, we propose an approach for
game engine architecture recovery and explore the architecture of three popular
open-source game engines (Cocos2d-x, Godot, and Urho3D). We perform manual
subsystem detection and use Moose, a platform for software analysis, to
generate architectural models. With these models, we answer the following
questions: Which subsystems are present in game engines? Which subsystems are
more often coupled with one another? Why are these subsystems coupled with each
other? Results show that the platform independence, resource management, world
editor, and core subsystems are frequently included by others and therefore act
as foundations for the game engines. Furthermore, we show that, by applying our
approach, game engine developers can understand whether subsystems are related
and divide responsibilities. They can also assess whether relationships among
subsystems are appropriate for the game engine.
"
425,"  Recent works on the concatenation of two simple heat engines have shown that
it may lead to non-monotonic variations in the efficiency and power with
parameters like driving amplitudes and asymmetries in cycle periods. Motivated
by this study, we investigate the effect of the concatenation between two
stochastic heat engines where colloidal particles have been trapped in harmonic
potentials. The stiffness parameters of each engine are varied cyclically, but
with different cycle periods, with a common thermal bath that acts as a sink
for the first engine but as a source for the second. We consider two types of
protocols, first where the trap strength undergoes sudden jumps, and the second
where it varies linearly with time. In both we find several non-trivial
effects, like the the non-monotonic functional dependence of the engine outputs
on several parameters used in the setup. For a protocol that varies linearly
with time, the concatenation leads to enhanced output power as compared to a
single effective engine, in a suitable range of parameters. It has been shown
that the output from the combined system shows a peak with respect to the
asymmetry in cycle times of the engines that have been concatenated. A general
relation of the efficiency of an arbitrary number of concatenated engines
driven quasistatically has been provided.
"
