Number,output,input
320,"  A broad class of software engineering problems can be generalized as the
""total recall problem"". This short paper claims that identifying and exploring
total recall language processing problems in software engineering is an
important task with wide applicability.
  To make that case, we show that by applying and adapting the state of the art
active learning and text mining, solutions of the total recall problem, can
help solve two important software engineering tasks: (a) supporting large
literature reviews and (b) identifying software security vulnerabilities.
Furthermore, we conjecture that (c) test case prioritization and (d) static
warning identification can also be categorized as the total recall problem.
  The widespread applicability of ""total recall"" to software engineering
suggests that there exists some underlying framework that encompasses not just
natural language processing, but a wide range of important software engineering
tasks.
","A wide range of software engineering problems
""Total recall problem"" This short paper claims identification and search.
The total problem of recall language processing of software engineering is as follows.
An important task with a wide range of applications.
In order to create that case, we apply and adapt to the state of art
Active learning, text mining, and solutions to the total recall problem are
It helps solve two important software engineering tasks.(A) Great support
Literature reviews and (b) identification of software security vulnerabilities.
In addition, it is assumed that the priority of the test case is (d) silence.
Warning identification can be classified as a complete recall problem.
A wide range of ""total recall"" in software engineering
We recommend that you have a simple default framework.
Although it is a natural language process, a wide range of important software engineering
work."
321,"  Although classical and quantum heat engines work on entirely different
fundamental principles, there is an underlying similarity. For instance, the
form of efficiency at optimal performance may be similar for both types of
engines. In this work, we study a three-level laser quantum heat engine
operating at maximum ecological function (EF) which represents a compromise
between the power output and the loss of power due to entropy production. We
derive analytic expressions for efficiency under the assumptions of strong
matter-field coupling and high bath temperatures. Upper and lower bounds on the
efficiency exist in case of extreme asymmetric dissipation when the ratio of
system-bath coupling constants at the hot and the cold contacts respectively
approaches, zero or infinity. These bounds have been established previously for
various classical models of Carnot-like engines. We conclude that while the
engine produces at least 75\% of the power output as compared with the maximum
power conditions, the fractional loss of power is appreciably low in case of
the engine operating at maximum EF, thus making this objective function
relevant from an environmental point of view.
","Classic and quantum heat engines work completely different
For example, there is a basic similarity.
The optimal performance is similar to two types of efficiency.
engine.
Operation in the maximum ecological function (EF) that shows compromise
Between output by entropy production and power loss
Analysis of efficiency under strong assumptions
Material field couple ring and high bath temperature
ë¹__  ê· ë¹ __ ê² ê²  ´ë_.
Continuous system bass coupling with hot contacts and cold contacts
_·¼, 0  ë¬.  ë²__  _¦½__ _¦½__µë_
Carnot-Like __    .  ë¦ __ __ ê²°ë_ ´ë¦½
__  ìµ ê°_³¼ ë¹__ ë¹__ ì¶__ ì¶__ ì¶__ 75%   __©ë_.
__ ì¡°ê±´, ë¶  __ __ __ __ __ __
To create this purpose, there is an engine that works at the maximum EF.
Related from an environmental perspective."
322,"  Established heat engines in quantum regime can be modeled with various
quantum systems as working substances. For example, in the non-relativistic
case, we can model the heat engine using infinite potential well as a working
substance to evaluate the efficiency and work done of the engine. Here, we
propose quantum heat engine with a relativistic particle confined in the
one-dimensional potential well as working substance. The cycle comprises of two
isothermal processes and two potential well processes of equal width, which
forms the quantum counterpart of the known isochoric process in classical
nature. For a concrete interpretation about the relation between the quantum
observables with the physically measurable parameters (like the efficiency and
work done), we develop a link between the thermodynamic variables and the
uncertainty relation. We have used this model to explore the work extraction
and the efficiency of the heat engine for a relativistic case from the
standpoint of uncertainty relation, where the incompatible observables are the
position and the momentum operators. We are able to determine the bounds (the
upper and the lower bounds) of the efficiency of the heat engine through the
thermal uncertainty relation.
","The established heat engine of the quantum system can be modeled in various ways.
Quantum system as an operating material
In the case, you can model the heat engine using infinite potential.
A substance that evaluates the efficiency and work of the engine
We propose a quantum heat engine with your opponent.
One -dimensional potential is an operating substance.
Two potential well processes with the same width as the equation process,
Form a quantum opponent of the knowledge process known in classical knowledge.
For specific interpretation of nature and both relationships
Observation using a physical measured parameter (efficiency and example:
Task) There are thermodynamic variables
Relationship of uncertainty.Using this model, we considered work extraction.
And the efficiency of the heat engine in a relative case
Possibility of uncertainty, incompatible observation
Operator of location and momentum.
Maximum and lower limit of thermal engine efficiency)
Relationship of heat implications."
323,"  This paper identifies and tackles the challenges of the requirements
engineering discipline when applied to development of AI-based complex systems.
Due to their complex behaviour, there is an immanent need for a tailored
development process for such systems. However, there is still no widely used
and specifically tailored process in place to effectively and efficiently deal
with requirements suitable for specifying a software solution that uses machine
learning. By analysing the related work from software engineering and
artificial intelligence fields, potential contributions have been recognized
from agent-based software engineering and goal-oriented requirements
engineering research, as well as examples from large product development
companies. The challenges have been discussed, with proposals given how and
when to tackle them. RE4AI taxonomy has also been outlined, to inform the
tailoring of development process.
","This white paper identifies the task of requirements and solves it.
Engineering when applied to the development of complex AI -based systems.
For complex actions, you need a customized one.
Development process of such a system.
Professional processes to trade effectively and efficiently
There are requirements that are suitable for specifying software solutions using a machine.
Learning software engineering analyzes related tasks
The field of artificial intelligence and potential contributions are recognized
Agent -based software engineering and target -oriented requirements
Case for engineering research and large -scale product development
The company and tasks were discussed as proposals.
When to Tackle Them. Re4ai TAXONOMY HAS ALSO BEEN OUTLINED, TO INFORM THE
ê°__ ê³  ë§_¶¤."
324,"  Analysis of the standards for the preparation of electromechanics in Ukraine
showed that the electromechanic engineer is able to solve complex specialized
problems and practical problems in a certain area of professional activity or
in the process of study. These problems are characterized by complexity and
uncertainty of conditions. The main competencies include social-personal,
general-scientific, instrumental, general-professional and
specialized-professional. A review of scientific publications devoted to the
training of electromechanics has shown that four branches of engineering are
involved in the training of electromechanical engineers: mechanical and
electrical engineering (with a common core of electromechanics), electronic
engineering and automation. The common use of the theory, methods and means of
these industries leads to the emergence of a combined field of engineering -
mechatronics. Summarizing the experience of electrical engineers professional
training in Ukraine and abroad makes it possible to determine the main
directions of their professional training modernization.
","Ukrainian electrical mechanics preparation standard analysis
Electronics engineers indicate that only specialization can be solved.
Problems and actual problems in specific fields of professional activities
In the research process, these issues have complexity and characteristics.
Condition uncertainty.
General science, tools, general experts
Review of specialized fields and science publications
There are four engineering fields for electrical epidemiological education
Participate in the training of electronic machine engineers: with machinery
Electrical engineering (including the general cores of electrical epidemiology), electronics
General use of engineering and automation
This industry leads to the appearance of the complex engineering field.
Mechatronics.
Ukraine and overseas training can determine the main
Instructions for modernization of professional training."
325,"  The efficiency of macroscopic heat engines is restricted by the second law of
thermodynamics. They can reach at most the efficiency of a Carnot engine. In
contrast, heat currents in mesoscopic heat engines show fluctuations. Thus,
there is a small probability that a mesoscopic heat engine exceeds Carnot's
maximum value during a short measurement time. We illustrate this effect using
a quantum point contact as a heat engine. When a temperature difference is
applied to a quantum point contact, the system may be utilized as a source of
electrical power under steady state conditions. We first discuss the optimal
working point of such a heat engine that maximizes the generated electrical
power and subsequently calculate the statistics for deviations of the
efficiency from its most likely value. We find that deviations surpassing the
Carnot limit are possible, but unlikely.
","The efficiency of the macroscopic heat engine is limited by the second rule.
Heat thermodynamics.
In contrast, the heat current of a thermal engine that loves the intermediate shows fluctuations.
Mesoscopic Thermal engine is Carno
Maximum value of short measurement time.
If there is a difference in temperature as a heat engine
When applied to Quantum Point Contact, the system
In the normal state, I will first explain the maximum
Points of heat engine that maximizes generated electricity
Calculate the statistics of power and subsequent deviation.
The most likely efficiency
Carno is possible, but there is almost no possibility."
326,"  The difference between quantum isoenergetic process and quantum isothermal
process comes from the violation of the law of equipartition of energy in the
quantum regime. To reveal an important physical meaning of this fact, here we
study a special type of quantum heat engine consisting of three processes:
isoenergetic, isothermal and adiabatic processes. Therefore, this engine works
between the energy and heat baths. Combining two engines of this kind, it is
possible to realize the quantum Carnot engine. Furthermore, considering finite
velocity of change of the potential shape, here an infinite square well with
moving walls, the power output of the engine is discussed. It is found that the
efficiency and power output are both closely dependent on the initial and final
states of the quantum isothermal process. The performance of the engine cycle
is shown to be optimized by control of the occupation probability of the ground
state, which is determined by the temperature and the potential width. The
relation between the efficiency and power output is also discussed.
","Difference between energy processes and quantum temperature temperature
The process is
To clarify the important physical meaning of this fact
Study a special type of quantum heat engine consisting of three processes.
Therefore, the merit, isolation process, this engine works.
Between energy and heat bath.
The Quantum Carno engine can also be realized.
The speed of the potential shape change is infinite square
The output of the engine is explained on the wall.
Efficiency and output are closely dependent on the early and finals.
The state of the quantum temperature is equipped, the performance of the engine cycle
It is optimized by controlling the possibility of occupation on the ground.
It is determined by temperature and potential width.
I will explain the relationship between efficiency and output."
327,"  The Carnot heat engine sets an upper bound on the efficiency of a heat
engine. As an ideal, reversible engine, a single cycle must be performed in
infinite time, and so the Carnot engine has zero power. However, there is
nothing in principle forbidding the existence of a heat engine whose efficiency
approaches that of Carnot while maintaining finite power. Such an engine must
have very special properties, some of which have been discussed in the
literature, in various limits. While recent theorems rule out a large class of
engines from maintaining finite power at exactly the Carnot efficiency, the
approach to the limit still merits close study. Presented here is an exactly
solvable model of such an approach that may serve as a laboratory for
exploration of the underlying mechanisms. The equations of state have their
origins in the extended thermodynamics of electrically charged black holes.
","Carnot Thermal Engine sets an upper limit for thermal efficiency.
The engine is an ideal and reversible engine that runs a single cycle.
Infinite time, so there is no power in the carnot engine,
In principle, the existence of hit engines is not prohibited.
Carno approaches while maintaining limited power.
There are very special attributes, some of them
There are various restrictions, literature.
Engine that accurately maintains limited power with the efficiency of Carno
Access to restrictions still promotes detailed research.This is presented accurately.
Solving these approach models that are useful as a laboratory
Inquiries about the default mechanism.
The origin of the expansion thermodynamics of the power load black hole."
328,"  We analyze an engine whose working fluid consists of a single quantum
particle, paralleling Szilard's construction of a classical single-particle
engine. Following his resolution of Maxwell's Second Law paradox using the
latter, which turned on physically instantiating the demon (control subsystem),
the quantum engine's design mirrors the classically-chaotic Szilard Map that
operates a thermodynamic cycle of measurement, thermal-energy extraction, and
memory reset. Focusing on the thermodynamic costs to observe and control the
particle and comparing these in the quantum and classical limits, we detail the
thermodynamic tradeoffs behind Landauer's Principle for
information-processing-induced thermodynamic dissipation in the quantum and
classical regimes. In particular, and as found with the classical engine, we
show that the sum of the thermodynamic costs over a cycle obeys a generalized
Landauer Principle, exactly balancing energy extraction from the heat bath.
Thus, the quantum engine obeys the Second Law. However, the quantum engine does
so via substantially different mechanisms: classically measurement and erasure
determine the thermodynamics, while in the quantum implementation the cost of
partition insertion is key.
","Analyze the engine of the operating solution composed of a single quantum.
Particle, particle parallel to the classic single particle structure of STERAD
Use the second law paradox of Engine.maxwell
The latter is physically instanced the devil (control subsystem).
The design of the quantum engine reflects a classic confused Silard Map.
Measurement, thermal energy extraction, thermodynamic cycle operates
Focus on memory reset, observation, and heat -powered cost.
Compare these with particles, quantum and classical restrictions
Thermodynamic trading off after the principle of Landauer
Both information processing
Classic system
It indicates that the total of the thermodynamic cost of the cycle is obeyed.
Randauer as a principle, maintains the balance of energy extraction of heat buses accurately.
Therefore, quantum engines followed the second law, but the quantum engine is.
In fact, via various mechanisms: classic measurement and deletion
Her thermodynamics are determined by quantum implementation.
Partition insertion is important."
329,"  As Engineering Education Research (EER) develops as a discipline it is
necessary for EER scholars to contribute to the development of learning theory
rather than simply being informed by it. It has been suggested that to do this
effectively will require partnerships between Engineering scholars and
psychologists, education researchers, including other social scientists. The
formation of such partnerships is particularly important when considering the
introduction of business-related skills into engineering curriculum designed to
prepare 21st Century Engineering Students for workplace challenges. In order to
encourage scholars beyond Engineering to engage with EER, it is necessary to
provide an introduction to the complexities of EER. With this aim in mind, this
paper provides an outline review of what is considered rigorous research from
an EER perspective as well as highlighting some of the core methodological
traditions of EER. The paper aims to facilitate further discussion between EER
scholars and researchers from other disciplines, ultimately leading to future
collaboration on innovative and rigorous EER.
","When EER develops into disciplinary action,
Learners need to contribute to the development of learning theory
It was suggested for this, not just receiving information
In fact, a partnership between engineering scholars is required.
Educational research institute, including psychologists and other social scientists.
Formation of such a partnership
Introducing business -related technology with the designed engineering curriculum.
Prepare work tasks for students in the 21st century.
Encourage scholars other than engineering to participate in EER.
Provide the introduction of the complexity of the EER.
This paper provides an overview of strict research.
Not only emphasizes some of the core method loans
EER's tradition aims to promote further discussions between EER.
Scholars and researchers in other fields will eventually lead to the future.
Collaboration about innovative and strict EER."
330,"  Quantum coherences, correlations and collective effects can be harnessed to
the advantage of quantum batteries. Here, we introduce a feasible structure
engineering scheme that is applicable to spin-based open quantum batteries. Our
scheme, which builds solely upon a modulation of spin energy gaps, allows
engineered quantum batteries to exploit spin-spin correlations for mitigating
environment-induced aging. As a result of this advantage, an engineered quantum
battery can preserve relatively more energy as compared with its non-engineered
counterpart over the course of the storage phase. Particularly, the excess in
stored energy is independent of system size. This implies a scale-invariant
passive protection strategy, which we demonstrate on an engineered quantum
battery with staggered spin energy gaps. Our findings establish structure
engineering as a useful route for advancing quantum batteries, and bring new
perspectives on efficient quantum battery designs.
","Quantum consistency, correlation, and group effects
The advantage of the quantum battery.Here, we will introduce a realized structure.
An engineering system applied to spin -based open quantum batteries.
A system that only has a spin energy gap is allowed.
Quantum battery designed to use spin spin correlation for relaxation
Aging by the environment.
The battery can maintain more energy than non -engineering.
The parent Relative of the storage stage.
The saved energy is irrelevant to the system size.
 ê°           __
     .     ë¥ ë¥ _¦½©ë_
  ë°__       ë§     
¨ì_   ë°°í_ ë°°í_  ê´."
331,"  BACKGROUND: Software engineering is a human activity. People naturally make
sense of their activities and experience through storytelling. But storytelling
does not appear to have been properly studied by software engineering research.
AIM: We explore the question: what contribution can storytelling make to
human--centric software engineering research? METHOD: We define concepts,
identify types of story and their purposes, outcomes and effects, briefly
review prior literature, identify several contributions and propose next steps.
RESULTS: Storytelling can, amongst other contributions, contribute to data
collection, data analyses, ways of knowing, research outputs, interventions in
practice, and advocacy, and can integrate with evidence and arguments. Like all
methods, storytelling brings risks. These risks can be managed. CONCLUSION:
Storytelling provides a potential counter--balance to abstraction, and an
approach to retain and honour human meaning in software engineering.
","Background: Software engineering is a human activity
Through storytelling, the sense of their activities and experience
It seems to have been properly researched by the research on software engineering.
Target: Search for questions.How can storytelling contribute?
How to define a concept
Easily identify the type of story, its purpose, as a result, and effects.
Check the front of the text, identify some contributions, and propose the following steps:
Results: Storytelling can contribute to data from other contributions.
Collection, data analysis, knowledge methods, research results, intervention
It can be practiced, proposed, and can be integrated with evidence, claims, just like everyone.
Methods and storytelling cause risks.
Storytelling is a potential opposition, that is, the balance of abstraction
An approach that maintains and respects human meaning in software engineering."
332,"  Robert Stirling's patent for what was essentially a new type of engine to
create work from heat was submitted in 1816. Its reception was underwhelming
and although the idea was sporadically developed, it was eclipsed by the steam
engine and, later, the internal combustion engine. Today, though, the
environmentally favourable credentials of the Stirling engine principles are
driving a resurgence of interest, with modern designs using modern materials.
These themes are woven through a historically based narrative that introduces
Robert Stirling and his background, a description of his patent and the
principles behind his engine, and discusses the now popular model Stirling
engines readily available. These topical models, or alternatives made 'in
house', form a good platform for investigating some of the thermodynamics
governing the performance of engines in general.
","ë³¸ì___   __ __ __ __ Robert stirling  ¹í_
  __  1816  ____ ____µë_. The reception was overwhelming.
And this idea was sporadically developed, but was enforced by steam.
Engine and subsequent internal combustion engine
This is an environmentally friendly qualification of the principle of the Stirling Engine.
The modern design of modern ingredients leads to the revival of interest.
These themes are historically organized through the base story.
Robert Stirling and his background, explanation of his patent
Discuss the principles behind his engine and the Stirling of the current popular model.
The engine can easily get an alternative created by these local models or alternatives.
House 'forms an excellent platform for investigating some thermodynamics.
In general, the performance of the engine is dominated."
333,"  The momentum conservation law is applied to analyse the dynamics of pulsejet
engine in vertical motion in a uniform gravitational field in the absence of
friction. The model predicts existence of a terminal speed given frequency of
the short pulses. The conditions that the engine does not return to the
starting position are identified. The number of short periodic pulses after
which the engine returns to the starting position is found to be independent of
the exhaust velocity and gravitational field intensity for certain frequency of
the pulses. The pulsejet engine and turbojet engine aircraft models of dynamics
are compared. Also the octopus dynamics is modelled. The paper is addressed to
intermediate undergraduate students of classical mechanics and aerospace
engineering.
","The Momentory Conservation Law is applied and analyzes the PulseJet mechanism.
Vertical exercise engine in a uniform gravity field
Friction and model predict the presence of the specified terminal speed.
The engine does not return
The starting position will be identified
The engine returns to the starting position
Exhaust speed and gravity strength of specific frequency
Pulse.dynamics pulse jet engine and turbo jet engine aircraft model
The octopus dynamics are also modeled.
Classic dynamics and undergraduate students in the aerospace
engineering."
334,"  This report documents the program and the outcomes of GI-Dagstuhl Seminar
16394 ""Software Performance Engineering in the DevOps World"".
  The seminar addressed the problem of performance-aware DevOps. Both, DevOps
and performance engineering have been growing trends over the past one to two
years, in no small part due to the rise in importance of identifying
performance anomalies in the operations (Ops) of cloud and big data systems and
feeding these back to the development (Dev). However, so far, the research
community has treated software engineering, performance engineering, and cloud
computing mostly as individual research areas. We aimed to identify
cross-community collaboration, and to set the path for long-lasting
collaborations towards performance-aware DevOps.
  The main goal of the seminar was to bring together young researchers (PhD
students in a later stage of their PhD, as well as PostDocs or Junior
Professors) in the areas of (i) software engineering, (ii) performance
engineering, and (iii) cloud computing and big data to present their current
research projects, to exchange experience and expertise, to discuss research
challenges, and to develop ideas for future collaborations.
","ë³ ë³ ê³  ¨ê³¼ ¨ê³¼ ¨ê³¼  ë¥ ê²°ê³¼ ë¡__ ë¡__.
16394 ""DevOps ê³  __¸ì_ __¸ì_    ë§"".
The seminar solved the problem of performance recognition
And performance and engineering are increasing in the past 1-2 years.
There is no small part because the importance of identification increases.
Operation of cloud and big data systems (OPS)
We will refuse these by developing (dev), but so far
The community processed software engineering, performance engineering, and cloud.
Mainly calculated in individual research fields
CROSS -Joint cooperation and long -term path
Cooperation for performance recognition.
The main goal of the seminar was to gather young researchers (PHD)
Late stage of Ph.D. and post -Doctor news or junior students
Professor) (I) Software engineering field, (II) performance
Cloud computing and big data to present engineering and (III)
Discuss research to exchange research projects, experience and expertise.
We develop ideas for challenges and future cooperation."
335,"  Game engines provide a platform for developers to build games with an
interface tailored to handle the complexity during game development. To reduce
effort and improve quality of game development, there is a strong need to
understand and analyze the quality of game engines and their various aspects
such as API usability, code quality, code reuse and so on. To the best our
knowledge, we are not aware of any dataset that caters to game engines in the
literature. To this end, we present GE852, a dataset of 852 game engine
repositories mined from GitHub in two languages, namely Java and C++. The
dataset contains metadata of all the mined repositories including commits, pull
requests, issues and so on. We believe that our dataset can lay foundation for
empirical investigation in the area of game engines.
","Game engine is a developer
The interface has been adjusted to process complexity during the game development.
¸ë_ê³  ê°__  __ ¥ì_,
Understand and analyze the quality of the game engine and various aspects.
API ease of use, code quality, reuse of code, etc.
I do not know the dataset corresponding to the knowledge and game engine.
For this purpose, we will present GE852, a 852 game engine dataset.
It was mined in two languages, a repository mined from GitHub, in Java and C ++.
The dataset contains metadata of all mining storage, including commits and pools.
Requests, problems, etc.We believe that the dataset can build the foundation.
Experienced survey of the area of __he game engine."
336,"  Software engineering has long studied how software developers work, building
a body of work which forms the foundation of many software engineering best
practices, tools, and theories. Recently, some developers have begun recording
videos of themselves engaged in programming tasks contributing to open source
projects, enabling them to share knowledge and socialize with other developers.
We believe that these videos offer an important opportunity for both software
engineering research and education. In this paper, we discuss the potential use
of these videos as well as open questions for how to best enable this
envisioned use. We propose creating a central repository of programming videos,
enabling analyzing and annotating videos to illustrate specific behaviors of
interest such as asking and answering questions, employing strategies, and
software engineering theories. Such a repository would offer an important new
way in which both software engineering researchers and students can understand
how software developers work.
",Translation error
337,"  The topic of microscopic heat engine has undergone intensive research in
recent years. Microscopic heat engines can exploit thermal as well as active
fluctuations to extract thermodynamic work. We investigate the properties of a
microscopic Stirling's engine that uses an active (self-propelling) particle as
a working substance, in contact with two thermal baths. It is shown that the
presence of activity leads to an enhanced performance of the engine. The
efficiency can be improved by increasing the activity strength for all cycle
time, including the non-quasistatic regime. We verify that the analytical
results agree very well with our simulations. The variation of efficiency with
the temperature difference between the two thermal baths has also been
explored. The optimum region of operation of the engine has been deduced, by
using its efficient power as a quantifier. Finally, a simple model is provided
that emulates the behaviour of a flywheel driven by this engine.
","Fine heat engine topic
In recent years, heat engines can be activated as well as heat.
Extracts thermodynamics
Fine sterling engine using active (self -promotion) particles
Work material that comes into contact with two heat baths
The existence of activity improves the performance of the engine.
Increasing all cycles can improve efficiency.
Time including non -restricted system
The result is very good for the change in simulation
Temperature difference between the two columns
The optimal operating area of __he engine
Efficient power is ultimately used as quantitative people.
Immemes the movement of the flywheel driven by this engine."
338,"  Finland is considered a country with a good track record in gender equality.
Whilst statistics support the notion that Finland is performing well compared
to many other countries in terms of workplace equality, there are still many
areas for improvement. This paper focuses on the problems that some women face
in obtaining software engineering roles. We report a preliminary analysis of
survey data from 252 respondents. These are mainly women who have shown an
interest in gaining programming roles by joining the Mimmit koodaa initiative,
which aims to increase equality and diversity within the software industry. The
survey sought to understand what early experiences may influence later career
choices and feelings of efficacy and confidence needed to pursue
technology-related careers. These initial findings reveal that women's feelings
of computing self-efficacy and attitudes towards software engineering are
shaped by early experiences. More negative experiences decrease the likelihood
of working in software engineering roles in the future, despite expressing an
interest in the field.
","Finland is considered a country with good gender equality.
While supporting the concept that Finland is doing well
Regarding work equality, many other countries still have many people.
This white paper, the area of __mprovement, focuses on the problems facing some women.
The role of software engineering.
Survey data of 252 respondents.
Participated in Mimmit Koodaa Initiative and plays the role of programming
We aim to enhance equality and diversity in the software industry.
The survey tried to understand that the first experience could later affect your career.
Influence and confidence and emotions necessary to pursue
Technology -related career.
Calculation of self -efficacy and attitude toward software engineering
It is formed by the first experience.
Despite the expression, we are working on the role of future software engineering.
Interest in the site."
339,"  Representative sampling appears rare in empirical software engineering
research. Not all studies need representative samples, but a general lack of
representative sampling undermines a scientific field. This article therefore
reports a critical review of the state of sampling in recent, high-quality
software engineering research. The key findings are: (1) random sampling is
rare; (2) sophisticated sampling strategies are very rare; (3) sampling,
representativeness and randomness often appear misunderstood. These findings
suggest that software engineering research has a generalizability crisis. To
address these problems, this paper synthesizes existing knowledge of sampling
into a succinct primer and proposes extensive guidelines for improving the
conduct, presentation and evaluation of sampling in software engineering
research. It is further recommended that while researchers should strive for
more representative samples, disparaging non-probability sampling is generally
capricious and particularly misguided for predominately qualitative research.
",Translation error
340,"  This paper presents an engine able to predict jointly the real-time
concentration of the main pollutants harming people's health: nitrogen dioxyde
(NO2), ozone (O3) and particulate matter (PM2.5 and PM10, which are
respectively the particles whose size are below 2.5 um and 10 um).
  The engine covers a large part of the world and is fed with real-time
official stations measures, atmospheric models' forecasts, land cover data,
road networks and traffic estimates to produce predictions with a very high
resolution in the range of a few dozens of meters. This resolution makes the
engine adapted to very innovative applications like street-level air quality
mapping or air quality adjusted routing.
  Plume Labs has deployed a similar prediction engine to build several products
aiming at providing air quality data to individuals and businesses. For the
sake of clarity and reproducibility, the engine presented here has been built
specifically for this paper and differs quite significantly from the one used
in Plume Labs' products. A major difference is in the data sources feeding the
engine: in particular, this prediction engine does not include mobile sensors
measurements.
",Translation error
341,"  Service-orientation is a promising paradigm that enables the engineering of
large-scale distributed software systems using rigorous software development
processes. The existing problem is that every service-oriented software
development project often requires a customized development process that
provides specific service-oriented software engineering tasks in support of
requirements unique to that project. To resolve this problem and allow
situational method engineering, we have defined a set of method fragments in
support of the engineering of the project-specific service-oriented software
development processes. We have derived the proposed method fragments from the
recurring features of eleven prominent service-oriented software development
methodologies using a systematic mining approach. We have added these new
fragments to the repository of OPEN Process Framework to make them available to
software engineers as reusable fragments using this well-known method
repository.
  Keyword. Service-Oriented Software Development, OPEN Process Framework, OPF
Repository, Method Fragment, Situational Method Engineering
","Service Orientation is a promising paradigm that enables engineering.
Large -scale distributed software system using strict software development
All existing problems are service -oriented software
In many cases, the development project requires a customized development process.
Support specific services that provide specific service -oriented software engineering tasks
The unique requirements for this problem are solved and approved.
Status method In defined, engineering and series of sculptures have been defined.
Encourage engineering of service -oriented software for each project
Development process
11 renowned service -oriented software development function
This new one has been added.
Use debris for the repository of the open process framework so that it can be used.
Software engineer with reusable sculptures using this well -known method
Repository.
example.Service -oriented software development, open process framework, OPF
Storage, method sculpture, status method engineering"
342,"  The engineering of artificial systems hosting topological excitations is at
the heart of current condensed matter research. Most of these efforts focus on
single-particle properties neglecting possible engineering routes via the
modifications of the fundamental many-body interactions. Interestingly, recent
experimental breakthroughs have shown that Coulomb interactions can be
efficiently controlled by substrate screening engineering. Inspired by this
success } we propose a simple platform in which topologically non-trivial
many-body excitations emerge solely from dielectrically-engineered Coulomb
interactions in an otherwise topologically trivial single-particle band
structure. Furthermore, by performing a realistic microscopic modeling of
screening engineering, we demonstrate how our proposal can be realized in
one-dimensional systems such as quantum-dot chains. Our results put forward
Coulomb engineering as a powerful tool to create topological excitations, with
potential applications in a variety of solid-state platforms.
","The engineering of the artificial system that hosts the topology excitement is as follows:
The core of the current outline research.
Ignore the effective engineering path via a single particle characteristics
Interestingly, I will change the basic multi -body interaction
Experimental innovation indicated that it could be Coulon's interaction.
Efficiently controlled by substrate screening engineering.
Success} We recommend a minor simple platform with a topology.
Many physical excitement appears only in electrical engineering Coulon.
Interactions of other topology of minor single particle bands
Also, by executing a realistic microscope modeling
Selecting engineering indicates how to make proposals.
One-dimensional systems such as Quantum-Dot chain are presented.
Cool long engineering as a powerful tool to create topology excitement
A potential application of various solid state platforms."
343,"  Recent predictions for quantum-mechanical enhancements in the operation of
small heat engines have raised renewed interest in their study from both a
fundamental perspective and in view of applications. One essential question is
whether collective effects may help to carry enhancements over larger scales,
when increasing the number of systems composing the working substance of the
engine. Such enhancements may consider not only power and efficiency, that is
its performance, but, additionally, its constancy, i.e. the stability of the
engine with respect to unavoidable environmental fluctuations. We explore this
issue by introducing a many-body quantum heat engine model composed by spin
pairs working in continuous operation. We study how power, efficiency and
constancy scale with the number of spins composing the engine and introduce a
well-defined macroscopic limit where analytical expressions are obtained. Our
results predict power enhancements, both in finite-size and macroscopic cases,
for a broad range of system parameters and temperatures, without compromising
the engine efficiency, accompanied by coherence-enhanced constancy for finite
sizes. We discuss these quantities in connection to Thermodynamic Uncertainty
Relations (TUR).
","Recent predictions of quantum mechanical improvement of operation
Small heat engine
One of the important questions, considering the basic perspective and application
Whether the group effect will help to improve a large scale,
When increasing the number of systems that make up the operating substance
These improvements are not just power and efficiency
Not only that performance, but also immutability.
Explore this in connection with the inevitable environmental change.
Problems by introducing many body quantum heat engine models composed of spins
A pair that works with continuous movements
Invisible scale of the number of spins that make up the engine
Frequently defined macro restrictions in the analysis formula
As a result, we predict power improvement in both finite sizes and macroscopic cases.
For a wide range of system parameter and temperature without compromise
Engine efficiency due to non -activity of consistency improvement of finite
The size describes these amounts of thermodynamic uncertainty.
TUR."
344,"  The field of structural engineering is vast, spanning areas from the design
of new infrastructure to the assessment of existing infrastructure. From the
onset, traditional entry-level university courses teach students to analyse
structural response given data including external forces, geometry, member
sizes, restraint, etc. -- characterising a forward problem (structural
causalities $\to$ structural response). Shortly thereafter, junior engineers
are introduced to structural design where they aim to, for example, select an
appropriate structural form for members based on design criteria, which is the
inverse of what they previously learned. Similar inverse realisations also hold
true in structural health monitoring and a number of structural engineering
sub-fields (response $\to$ structural causalities). In this light, we aim to
demonstrate that many structural engineering sub-fields may be fundamentally or
partially viewed as inverse problems and thus benefit via the rich and
established methodologies from the inverse problems community. To this end, we
conclude that the future of inverse problems in structural engineering is
inexorably linked to engineering education and machine learning developments.
","Rescue engineering fields are enormous in the design field.
With new infrastructure for existing infrastructure evaluation.
Traditional entry -level universities have analyzed to students.
Structural reactions given data including external force, geometry, and members
Size, suppression, etc.
Causal relationship $ \ ~ $ structural response)
For example, it has been introduced in rescue design.
According to the design standards, structural format suitable for members
The opposite of what they learned before.
Rescue hygiene monitoring and various structural engineering
Subfield ($ $ \ \).
Many structural engineering subfields are basically or
Partially, it is considered the opposite problem, with the rich
Established by the opposite community
The future of the opposite of rescue engineering is
It has nothing to do with engineering education and machine learning development."
